band,keyword,score,suggest_hits,intent,rationale
E-HEAD,daikin ac repair dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,deep cleaning ac dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,deep cleaning after renovation dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,deep cleaning balcony dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,deep cleaning bathroom dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,deep cleaning bur dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,deep cleaning car wash dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,deep cleaning dentist dubai,2,1,Commercial,Core money term - all 5 competitors compete
C-LOCAL,deep cleaning downtown dubai,2,1,Commercial,Neighbourhood page - thin competition
E-HEAD,deep cleaning furniture dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,deep cleaning in dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,deep cleaning kitchen dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,deep cleaning mattress dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,deep cleaning offers dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,deep cleaning office dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,deep cleaning sofa dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,deep cleaning studio dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,deep cleaning teeth dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,deep cleaning villa dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,deep ear cleaning dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,dubai ac maintenance tips,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,dubai electrical house wiring,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,dubai electrician drawing,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,dubai electrician helper work,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,dubai electrician license,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,dubai electrician payment,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,dubai electrician vacancy 2025,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,dubai electrician wiring,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,dubai luxury home maintenance surge,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,dubai plumber fitting,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,dubai plumber helper,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,dubai plumber maintenance,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,electrical handyman dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,electrical maintenance dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,electrical repair dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,electrician apprenticeship dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,electrician bur dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,electrician car dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,electrician dubai vacancy,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,electrician dubai work,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,electrician handyman dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,electrician helper dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,electrician in dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,electrician in dubai hills,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,electrician maintenance dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,electrician near dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,electrician near dubai international city,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,electrician near dubai silicon oasis,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,electrician pay dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,electrician shop dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,english plumber dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,expert plumber dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,filipino handyman dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,find handyman dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,fix dubai home maintenance,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,floor deep cleaning dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,furniture assembly dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,furniture movers and packers in dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,furniture painters dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,furniture painting dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,furniture refurbishment dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,furniture repair dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,garden deep cleaning dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,gas plumber dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,german handyman dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,german plumber dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,gf relocation furniture movers and packers dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,glass block installation dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,glass door installation dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,glass installation dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,glass replacement dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,glass shower screen dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,gree ac maintenance dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,gree ac repair dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,green tech home & property maintenance in dubai,2,1,Commercial,Core money term - all 5 competitors compete
C-LOCAL,handyman business bay,2,1,Commercial,Neighbourhood page - thin competition
E-HEAD,handyman business in dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,handyman carpenter dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,handyman dubai 24/7,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,handyman dubai com,2,1,Commercial,Core money term - all 5 competitors compete
C-LOCAL,handyman dubai jvc,2,1,Commercial,Neighbourhood page - thin competition
E-HEAD,handyman dubai now,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,handyman electrician dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,handyman guru dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,handyman heroes dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,handyman hire dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,handyman in dubai,2,1,Commercial,Core money term - all 5 competitors compete
C-LOCAL,handyman in dubai marina,2,1,Commercial,Neighbourhood page - thin competition
C-LOCAL,handyman jvc,2,1,Commercial,Neighbourhood page - thin competition
C-LOCAL,handyman jvc dubai,2,1,Commercial,Neighbourhood page - thin competition
E-HEAD,handyman near dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,handyman painter dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,handyman per hour dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,handyman repair dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,handyman work dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,handyman work in dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,homd home maintenance dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,home ac gas refill dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,home ac repair dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,home cleaning app dubai,2,1,Commercial,Core money term - all 5 competitors compete
C-LOCAL,home cleaning dubai jvc,2,1,Commercial,Neighbourhood page - thin competition
E-HEAD,home cleaning dubai offer,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,home cleaning dubai south,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,home cleaning in dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,home cleaning near dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,home deep cleaning dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,home maintenance experts dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,home maintenance uae,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,home repair in dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,home.cleaning dubai discount,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,house cleaning app dubai,2,1,Commercial,Core money term - all 5 competitors compete
C-LOCAL,house cleaning dubai marina,2,1,Commercial,Neighbourhood page - thin competition
E-HEAD,house cleaning in dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,house deep cleaning dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,hvac duct cleaning dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,hvac maintenance in dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,jaguar ac repair dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,jeep ac repair dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,junk removal dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,junk removal dubai free,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,junk removal dubai hills,2,1,Commercial,Core money term - all 5 competitors compete
C-LOCAL,junk removal dubai marina,2,1,Commercial,Neighbourhood page - thin competition
E-HEAD,junk removal dubai municipality,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,junk removal dubai open now,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,koona home maintenance dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,lg ac maintenance dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,lg ac repair dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,maserati ac repair dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,mattress cleaning dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,mattress deep cleaning dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,mattress dry cleaning dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,mattress steam cleaning dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,mattress topper cleaning dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,mazaya ac repair fixing dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,mercedes ac repair dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,midea ac repair dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,mirror installation dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,move in cleaners dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,move in move out cleaning dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,move out cleaning dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,move with us uae professional movers and packers dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,mr handyman dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,offshore electrician dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,one deep cleaning dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,outdoor deep cleaning dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,perfect handyman dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,pest control dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,pest control dubai cockroach,2,1,Commercial,Core money term - all 5 competitors compete
C-LOCAL,pest control dubai deira,2,1,Commercial,Neighbourhood page - thin competition
C-LOCAL,pest control dubai marina,2,1,Commercial,Neighbourhood page - thin competition
E-HEAD,pest control dubai municipality,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,pest control dubai qusais,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,pest control dubai silicon oasis,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,plumber bur dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,plumber drawing dubai,2,1,Commercial,Core money term - all 5 competitors compete
C-LOCAL,plumber dubai jvc,2,1,Commercial,Neighbourhood page - thin competition
E-HEAD,plumber dubai urgent,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,plumber dubai work,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,plumber in dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,plumber in dubai hills,2,1,Commercial,Core money term - all 5 competitors compete
C-LOCAL,plumber in dubai marina,2,1,Commercial,Neighbourhood page - thin competition
E-HEAD,plumber in dubai south,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,plumber interview dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,plumber near dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,plumber pay dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,plumber shop dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,plumber vacancy dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,plumber vacancy in dubai hotels,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,plumbing repair dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,porsche ac repair dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,professional deep cleaning dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,professional handyman dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,professional mattress cleaning dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,professional plumber dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,qualified electrician dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,samsung ac repair dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,shower doors dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,smart glass installation dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,sofa cleaning dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,sofa cleaning dubai hills,2,1,Commercial,Core money term - all 5 competitors compete
C-LOCAL,sofa cleaning dubai marina,2,1,Commercial,Neighbourhood page - thin competition
E-HEAD,sofa cleaning dubai silicon oasis,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,sofa cleaning dubai south,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,spray painting furniture dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,tesla ac repair dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,toilet plumber dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,top rated deep cleaning dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,toyota ac repair dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,true home maintenance dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,tv wall mount installation dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,uk electrician dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,uk plumber dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,upholstery dubai sofa,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,urgent ac repair dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,urgent electrician dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,urgent handyman dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,urgent plumber dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,villa deep cleaning in dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,villa water tank cleaning dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,volkswagen ac repair dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,vrf ac repair dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,warehouse deep cleaning dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,water heater cleaning dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,water leak detection dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,water leak repair dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,water tank cleaning dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,water tank cleaning dubai municipality,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,water tank cleaning regulations dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,window ac repair dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,window installation dubai,2,1,Commercial,Core money term - all 5 competitors compete
E-HEAD,wooden furniture painting dubai,2,1,Commercial,Core money term - all 5 competitors compete
